Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Sep-15,Senior,DFE-1187,N/D,SCS1,Deputy Director,"Responsible for policy on free schools in the pre-opening stage and for taking forward individual proposals in (1) the South East & South London, (2) North West London & South Central, (3) Lancashire and West Yorkshire, and (4) The North RSC regions.",Department for Education,Department For Education,Free Schools Group,0370 000 2288,N/D,DFE-1090,1464516.915,1,0,0,Policy,,1
Sep-15,Senior,DFE-1268,N/D,SCS1,Deputy Director,Lead the work on Social Work Reform and the Innovation Programme in Children Social Care.,Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1016,46039.32,1,0,0,Policy,,1
Sep-15,Senior,DFE-1136,Peter Lauener,SCS3,Director General,"Chief Executive of the Education Funding Agency, within the DfE, and Accounting Officer for the EFA’s",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1084,918231.5,1,140000,144999,Business Unit Support,,1
Sep-15,Senior,DFE-1119,N/D,SCS1,Deputy Director,"Deputy Director, Early Years and Childcare Markets – responsible for policy to create a dynamic and thriving Early Years and Childcare market.",Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1006,757074.96,0.6,0,0,Policy,,1
Sep-15,Senior,DFE-1215,Tim Leunig,SCS2,Director,"Chief Analyst, responsible for the quality and accuracy of analytical advice across the Department.",Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,0370 000 2288,N/D,DFE-1001,209256,0.55,125000,129999,Economics,,1
Sep-15,Senior,DFE-1215,Donna Ward,SCS2,Director,"Chief Analyst, responsible for the quality and accuracy of analytical advice across the Department.",Department for Education,Department For Education,Strategic Analysis Research and Policy Impact Group,0370 000 2288,N/D,DFE-1001,0,0.55,105000,109999,Policy,,1
Sep-15,Senior,DFE-1227,N/D,SCS1,Deputy Director,"The Division is responsible for activity around the early years workforce and a large number of special projects around initial teacher training and system leadership, including Troops to Teachers and projects to increase the number of STEM teachers in line with the Prime Minister’s commitment. ",Department for Education,National College,National College for School Leadership,0370 000 2288,N/D,DFE-1021,1058097.67,1,0,0,Policy,,1
Sep-15,Senior,DFE-1270,N/D,SCS1,Deputy Director,"Curriculum and Standards Division: responsible for policy about curriculum and standards in primary and secondary schools in England. This includes supporting ministers to make policy decisions about the curriculum, and about individual curriculum subjects, and the management of contracts and grants to support the implementation of the curriculum in schools.",Department for Education,Department For Education,"Assessment, Curriculum and General Qualifications",0370 000 2288,N/D,DFE-1017,849782.08,1,0,0,Policy,,1
Sep-15,Senior,DFE-1221,N/D,SCS1,Deputy Director,Deputy Director for the Central Capital Unit. This is responsible for policy and funding matters relating to investment in the education estate.  ,Department for Education,Department For Education,Education Funding Group,0370 000 2288,N/D,DFE-1124,1285921.9,0.67,0,0,Policy,,1
Sep-15,Senior,DFE-1075,N/D,SCS1,Deputy Director,"Responsible for the delivery of the DfE Change Programme, Internal Communications and Knowledge, Information and Records Management.",Department for Education,Department For Education,HR and Change Group,0370 000 2288,N/D,DFE-1011,1153662.715,1,0,0,Economics,,1
Sep-15,Senior,DFE-1084,Andrew McCully,SCS3,Director General,"Infrastructure and Funding Directorate is responsible for: securing higher standards of education through the delivery of academies and free schools programmes; ensuring effective oversight of academies and free schools through the work of Regional Schools Commissioners; maintenance and reform of funding system for pre and post-16 education to secure a system which is transparent, where funding follows the pupil and where pupils with additional needs attract additional funding; developing and implementing policy on pre and post-16 capital funding; applying ministers' deregulatory principles to organisation of the school system; improving the resilience of the school system against the threat of extremism.",Department for Education,Department For Education,Infrastructure and Funding Directorate,0370 000 2288,N/D,DFE-1001,1130743.5,1,125000,129999,Operational Delivery,,1
Sep-15,Senior,DFE-1065,N/D,SCS1,Deputy Director,"Academies Group Territory: responsible for open academies in the Central region including: compliance with the Funding Agreement, casework from academies, responses to POs/TOs, complaints about academies and risk assessment and management.",Department for Education,Education Funding Agency,Education Funding Agency,0370 000 2288,N/D,DFE-1133,1577812.42,1,0,0,Programme and Project Management (PPM),,1
Sep-15,Senior,DFE-1247,N/D,SCS1,Deputy Director,"Leading a division providing analytical support to DfE’s Infrastructure and Funding Directorate. This includes modelling, research, statistical and economic analysis on funding, the provision of schools and school places, school choice and admissions.",Department for Education,Department For Education,Education Funding Group,0370 000 2288,N/D,DFE-1124,1469916.85,1,0,0,Policy,,1
Sep-15,Senior,DFE-1277,Claudine Menashe-Jones,SCS2,Director,"Leads Academies Group, which is responsible for the delivery of the Academies Programme in support of the Regional Schools Commissioners. This includes enabling schools to convert to become Academies, brokering sponsored Academy solutions for underperforming maintained schools, tackling poor performance of open Academies and supporting the growth and development of the sponsor market.",Department for Education,Department For Education,Academies Group,0370 000 2288,N/D,DFE-1084,281913,1,85000,89999,Policy,,1
Sep-15,Senior,DFE-1028,N/D,SCS1,Deputy Director,"Deputy Director has overall responsibility for leading the Teacher Services Division of the National College for Teaching and Leadership. The Division supports the award of qualified teacher status, the investigation and consideration of cases where it is alleged that a teacher is guilty of unacceptable professional conduct, conduct that may bring the profession into disrepute or where the teacher has been convicted of a relevant offence. The Division maintains the list of prohibited teachers and makes it available. The Division acts as the appeal body for teachers who have failed their induction period.",Department for Education,National College,National College for School Leadership,0370 000 2288,N/D,DFE-1049,1351694.325,1,0,0,Policy,,1
Sep-15,Senior,DFE-1173,N/D,SCS1,Deputy Director,"Responsible for Special Educational Needs and Disability (SEND) policy and, in particular, the implementation of the reforms to the SEND system set out in the Children and Families Act, 2014.",Department for Education,Department For Education,"Childcare, Special Needs and Children’s Services Strategy",0370 000 2288,N/D,DFE-1006,1162941.605,0.88,0,0,Estates and Facilities Management,,1
Sep-15,Senior,DFE-1276,N/D,SCS1,Deputy Director,"Deputy Director having overall responsibility for the Property Asset Management Unit (PAMU) and Departmental Security Unit (DSU) for the Department of Education and the Department for Communities and Local Government. PAMU and DSU responsibilities include estate/property strategy and management, contract management, programme and project management, sustainable operations, fire, health and safety and facilities management, business continuity and security management, protective and information technology security.",Department for Education,Department For Education,Finance & Commercial Group,0370 000 2288,N/D,DFE-1009,1564004.805,1,0,0,Operational Delivery,,1
