Back to Index,Senion/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Column1,Professional/Occupational Group,Notes,Valid?
Mar-14,Senior,25038,N/D,SCS1,"Deputy Director, Scotland Analysis Programme",Responsible for Scotland analysis programme,Her Majesty's Treasury,HM Treasury,Scotland Analysis programme,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24036,0,1,N/A,,,Policy,,1
Mar-14,Senior,25597,N/D,SCS1,"Deputy Director, Commercial Capability Review",Responsible for Commercial Capability Review,Her Majesty's Treasury,HM Treasury,Commercial Capability Review,020 7270 5000,public.enquiries@hmtreasury.gsi.gov.uk,24028,0,0.8,N/A,,,Policy,Part Time 0.8 FTE,1
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Assurance & International,,,24038,,1,18727,26720,,Policy,,
Mar-14,Junior,,,Specialist,Specialist,,Her Majesty's Treasury,HM Treasury,Assurance & International,,,24038,,3.13,28000,145000,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,23995,,1,24578,38255,,Economics,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,23995,,8,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,23995,,1,41550,57801,,Economics,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,23995,,5.6,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,23995,,2,49490,60000,,Policy,,
Mar-14,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,23995,,1,18480,18480,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis/Director's Office,,,23998,,3,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis/Director's Office,,,23998,,6,41550,57801,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking Compensation and Legacy Assets/Banking Commision Implementation,,,25499,,4,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking Compensation and Legacy Assets/Banking Commision Implementation,,,25499,,3,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking Compensation and Legacy Assets/Banking Commision Implementation,,,25499,,2,49490,60000,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Director's Office/GMS,,,24013,,3.81,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Director's Office/GMS,,,24013,,8,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Director's Office/GMS,,,24013,,1,41550,57801,,Planning,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Director's Office/GMS,,,24013,,6.39,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Director's Office/GMS,,,24013,,2,49490,60000,,Policy,,
Mar-14,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Budget & Tax Strategy/Director's Office/GMS,,,24013,,1,18480,18480,,Policy,,
Mar-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,23984,,2,16386,21663,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,23984,,3,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,23984,,2,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,23984,,1,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,23984,,1,49490,60000,,Policy,,
Mar-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,23984,,2,16386,21663,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,23984,,1,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,23984,,4,24578,38255,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,23984,,1,49490,60000,,Policy,,
Mar-14,Junior,,,Range B,Press Support Officer,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,1,16386,21663,,Operational Delivery,,
Mar-14,Junior,,,Range C,Communications Support Officer,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,3,18727,26720,,Communications,,
Mar-14,Junior,,,Range C,Communications Support Officer,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,1,18727,26720,,Policy,,
Mar-14,Junior,,,Range C,Press Support Officer,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,1,18727,26720,,Operational Delivery,,
Mar-14,Junior,,,Range D,Communications Manager,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,12,24578,38255,,Communications,,
Mar-14,Junior,,,Range E,Senior Communications Manager,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,7,41550,57801,,Communications,,
Mar-14,Junior,,,Range E2,Senior Communications Manager,,Her Majesty's Treasury,HM Treasury,COM Team,,,24005,,2,49490,60000,,Communications,,
Mar-14,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office/Director General's Office,,,23984,,2,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office/Director General's Office,,,23984,,2,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office/Director General's Office,,,23984,,1,41550,57801,,Policy,,
Mar-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",,,24744,,1,16386,21663,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",,,24744,,2,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",,,24744,,5,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",,,24744,,4,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Competition, Markets and Regulation/GMS",,,24744,,1,49490,60000,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,23954,,6,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,23954,,5,41550,57801,,Policy,,
Mar-14,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,23954,,1,18480,18480,,Policy,,
Mar-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Corporate Taxation/Director's Office,,,23966,,0.63,16386,21663,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Corporate Taxation/Director's Office,,,23966,,5,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Corporate Taxation/Director's Office,,,23966,,7.7,41550,57801,,Policy,,
Mar-14,Junior,,,Range B,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,24025,,9,16386,21663,,Policy,,
Mar-14,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,24025,,8.89,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,24025,,6,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,24025,,2,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,24025,,1,49490,60000,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Data Quality and OSCAR,,,24054,,8.89,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Data Quality and OSCAR,,,24054,,3,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Data Quality and OSCAR,,,24054,,1,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Data Quality and OSCAR,,,24054,,1,49490,60000,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,,,25142,,1,24578,38255,,Economics,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,,,25142,,3,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,,,25142,,1,41550,57801,,Economics,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,,,25142,,1,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,,,25142,,1,49490,60000,,Policy,,
Mar-14,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,,,25142,,1,18480,18480,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,24054,,2,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,24054,,3,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,24054,,6,41550,57801,,Policy,,
Mar-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Devolved and Local Government/Director's Office/GMS,,,24888,,3,16386,21663,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Devolved and Local Government/Director's Office/GMS,,,24888,,4,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Devolved and Local Government/Director's Office/GMS,,,24888,,6,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Devolved and Local Government/Director's Office/GMS,,,24888,,4,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Devolved and Local Government/Director's Office/GMS,,,24888,,1,49490,60000,,Policy,,
Mar-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Economic Assessment,,,23957,,1,16386,21663,,Economics,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment,,,23957,,6,24578,38255,,Economics,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment,,,23957,,3.5,41550,57801,,Economics,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment,,,23957,,1,49490,60000,,Economics,,
Mar-14,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Economic Assessment,,,23957,,3,18480,18480,,Economics,,
Mar-14,Junior,,,Range B,Research Support Officer,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit/GMS,,,24010,,2,16386,21663,,Social Research,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit/GMS,,,24010,,0.5,18727,26720,,Social Research,,
Mar-14,Junior,,,Range C,Research Support Officer,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit/GMS,,,24010,,0.84,18727,26720,,Social Research,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit/GMS,,,24010,,2,24578,38255,,Economics,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit/GMS,,,24010,,2,41550,57801,,Economics,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit/GMS,,,24010,,1,49490,60000,,Economics,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Economic Assessment/Economics Model Unit/GMS,,,24010,,1,49490,60000,,Social Research,,
Mar-14,Junior,,,Range B,Treasury Official,,Her Majesty's Treasury,HM Treasury,"Economic, Exchequer, Financial Secretary's Office",,,23984,,2,16386,21663,,Policy,,
Mar-14,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,"Economic, Exchequer, Financial Secretary's Office",,,23984,,3,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,"Economic, Exchequer, Financial Secretary's Office",,,23984,,2,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,"Economic, Exchequer, Financial Secretary's Office",,,23984,,3,41550,57801,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",,,24774,,4.8,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",,,24774,,1,41550,57801,,Economics,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Education, Children and Culture",,,24774,,2.57,41550,57801,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",,,25070,,6,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",,,25070,,4,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",,,25070,,0.89,49490,60000,,Policy,,
Mar-14,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,"Energy, Environment and Agriculture",,,25070,,1,18480,18480,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Enterprise and Property Tax,,,24253,,5,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Enterprise and Property Tax,,,24253,,6.9,41550,57801,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,,,23967,,1,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,,,23967,,7,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,,,23967,,1,41550,57801,,Economics,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,,,23967,,3,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Environment and Transport Tax,,,23967,,2,49490,60000,,Policy,,
Mar-14,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,2,18480,18480,,Policy,,
Mar-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,3,16386,21663,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,9,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,4,41550,57801,,Policy,,
Mar-14,Junior,,,Range E2,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Equitable Life and International Tax/GMS,,,24274,,1,49490,60000,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,European Institutions and Policy,,,23989,,2,18727,26720,,Policy,,
Mar-14,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,European Institutions and Policy,,,23989,,6,24578,38255,,Policy,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,European Institutions and Policy,,,23989,,1,41550,57801,,Economics,,
Mar-14,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,European Institutions and Policy,,,23989,,4,41550,57801,,Policy,,
Mar-14,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,European Union Finances/GMS,,,24629,,2,16386,21663,,Policy,,
Mar-14,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,European Union Finances/GMS,,,24629,,6.19,18727,26720,,Policy,,
