Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Oct-15,Senior,SER-1951,N/D,SCS1,Deputy Director Workforce Development Strategy,'Ensuring appropriate workforce planning and development in relation to delivery of education.',Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-011,796569,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-PICD-108,N/D,SCS1,Deputy Director for Commercial Policy,Deputy Director for Commercial Policy,Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN140,2042432,1,ND,,Procurement,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT2353,N/D,SCS1,Deputy Director - External Partnerships,External Partnerships,Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-010,530822,1,ND,,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-036,N/D,SCS1,Deputy Director - CQC Sponsorship/Quality Regulation and DH Investigations,"'Supporting the alignment of quality assurance processes across the sector, supporting effective sponsorship of CQC, and developing their legislative and policy framework'",Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-1945,534224,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PSF042,N/D,SCS1,Deputy Director - HR Business Change,Responsible for - Supporting the Corporate Services Improvement Programme',Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO2187,0,1,ND,,Human Resources,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-061,N/D,SCS1,"Deputy Director Human Tissue,Embryology and Assisted Reproduction","Deputy Director Human Tissue,Embryology and Assisted Reproduction",Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-068,336443,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,RDD-040,N/D,SCS1,"Deputy Director - Sponsorship, Performance and Workforce","Responsible for - making it easier and faster to start and deliver research in the NHS, including through NIHR incentives for NHS performance and supporting and holding to account the Health Research Authority for delivery of HRA approval; developing NIHR leadership and providing oversight of NIHR efforts to develop and support the next generation of clinical and applied health researchers;sponsoring the HRA;leading for RDD on our engagement with other DH ALBs to support the NHS to engage in research",Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,RDD-009,0,1,ND,,Policy,Cost of Reports Added to RDD-009 Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT-102,N/D,SCS1,Deputy Director - Office for Life Sciences,'Responsible for the Governments relationship with the pharmaceutical and medical technology industries including sponsorship of those industries. Responsible for the Divisions Business Unit which covers parliamentary briefing and correspondence.',Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT2355,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC2252,N/D,SCS1,Head of Work & Health Joint Unit,Work & Health joint unit with DWP,Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-003,353378,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-043,N/D,SCS1,"Deputy Director - NHS Pay, Pensions & Employment Services",'Modernisation of NHS Pension and Pay arrangements.',Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-011,733442,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGT-109,N/D,SCS1,Deputy Director Commercial Medicines Unit,"'CMU works with NHS Chief Pharmacists to put in place arrangements for the supply of medicines for use within secondary care in the NHS. CMU also undertakes the procurement of clinical countermeasures, vaccines and other pharmacueticals on behalf of the DH.'",Department of Health,Department of Health,"Innovation, Growth and Technology",020 7210 4850,N/D,IGT-028,2116861,1,ND,,Procurement,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-076,N/D,SCS1,Deputy Director - Care Provider Continuity,'Head of Care Provider Continuity',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-023,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-071,N/D,SCS1,Deputy Director - Alcohol and Drugs Policy,'Responsible for: Alcohol and Drugs Policy.',Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-019,269364,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD066,N/D,SCS1,Deputy Director - Public Health Policy & Strategy,Responsible for: Public Health Policy & Strategy,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-017,485224,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-051,N/D,SCS1,Head of Business Support & Engagement,"'Responsible for - Planning for future business needs for DH/ALBs promoting collaboration, knowledge sharing and different ways of working'",Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-016,1601189,1,ND,,Property and asset management,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-042,N/D,SCS1,Deputy Director - Corporate Engagement,"'Supports the Department in developing its relationships with external partners and stakeholders, and its capability to engage with stakeholders'",Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-013,731837,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD077,N/D,SCS1,Deputy Director - Ebola Team,Deputy Director - Ebola Team,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-068,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-055,N/D,SCS1,Deputy Director - Global Summit on Patient Safety & Connecting,Responsible for delivering the Global Patient Safety Summit in March 2016; continuation of the Connecting Programme into Year 3; Citizen Voice and Insight stewardship and policy leadership on patient and public involvement and leading policy and legislation on NHS complaints handling.,Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-004,334227,1,ND,,Operational Delivery,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-050,N/D,SCS1,"Deputy Director - HR Operations & SCS Unit, HR Change Team",'Responsible for: HR Framework Displacement Exits (Change and Business as Usual) Staff Support Outplacement Restructuring SCS Unit Fast Stream - Strategy and Operations HR Services (Transactions and Casework)',Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-014,833591,1,ND,,Human Resources,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,RDD-039,N/D,SCS1,Acting Deputy Director - Research Infrastructure and Growth,"'Responsible for - creating world-class research infrastructure in the NHS to speed up translation of leading-edge research into patient benefits and maximising NHS research potential to contribute to the country’s economic growth through the life sciences industries; forging and harnessing partnership between the NHS and Universities; leading on Research and Development relations with the life sciences industry, and working across government on the growth agenda.'",Department of Health,Department of Health,Research & Development Directorate,020 7210 4850,N/D,RDD-009,334838,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-023,Clara Swinson,SCS2,Director of Social Care Policy,"'Leadership of the Social Care Policy Division, encompassing strategy and policy for adult social care, including funding reform and legislation; the transformation programme for social care to enable greater choice, control and personalisation of services (including direct payments and personal budgets); strategies on older peoples services, dementia, carers, dignity in care, and safeguarding. It is also responsible for policy on social care finance and efficiency, and provides DHs lead on Social Care for the Comprehensive Spending Review.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-003,987774,0.9,80000,84999,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN128,N/D,SCS1,Deputy Director - Financial Control,Responsible for the Financial Management Improvement Programme,Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-GFM-027,971876,1,ND,,Finance,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-1946,N/D,SCS1,Deputy Director Workforce Capacity and Information,"'Strategic leadership and coordination for the development and implementation of Departmental policy in respect of workforce information, availability and planning. Funding of education and training to support the development of the workforce.'",Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-011,425407,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SC-079,N/D,SCS1,"Deputy Director - Armed Forces and Offender Health, Mental Health Legislation","'Responsible for: secure services, personality disorder, mental health act, offender mental health.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SC-026,639791,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-066,N/D,SCS1,Deputy Director - Health Visitor programme and healthy foods,Responsible for Health Visitors programme and healthy foods programme,Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-019,421759,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-NHSG-112,N/D,SCS1,"Deputy Director, NHS Personalisation and Regulation","Responsible for implementing patients’ right to choice within the NHS, and managing competition law in the NHS so that it works effectively, fairly and in the best interests of patients. We are sponsor branch for Monitor and work closely with them, including on the licensing regime, tariff and pricing.",Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-NHSG-031,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,IGO-2184,N/D,SCS1,Deputy Director - NHS Security,'Responsible for NHS Security.',Department of Health,Department of Health,Group Operations,020 7210 4850,N/D,IGO-015,0,1,ND,,Procurement,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,FN-GFM-115,N/D,SCS1,Interim Director - Finance Business Partners,'Responsible for the provision of finance support advice challenge and in year financial management and reporting of DH revenue and capital central budgets administration spend and ALB finances.',Department of Health,Department of Health,Finance & NHS,020 7210 4850,N/D,FN-GFM-027,892186,1,ND,,Finance,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-1893,N/D,SCS1,Head of Health improvement Analytical Team,'Responsible for: Health Improvement Analytical Team',Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-017,1071668,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,SER-044,N/D,SCS1,Deputy Director Workforce Analysis,'Provision of analytical data to support Workforce policy areas.',Department of Health,Department of Health,Strategy and External Relations,020 7210 4850,N/D,SER-011,412954,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Oct-15,Senior,PHD-062,N/D,SCS1,"Deputy Director CBRN, Environmental Threats and Hazards","Deputy Director CBRN, Environmental Threats and Hazards",Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,PHD-020,0,1,ND,,Policy,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
